initamp1,initamp2,finalamp1,finalamp2,finalenergy,iter
-0.00010067,0.081365,-0.00010067,1.9564,-77.934,23
-0.00010067,1.9564,-0.00010067,1.9564,-77.934,23
-0.00010067,1.9564,-0.00010067,1.9564,-77.934,23
-5.69E-05,0.081379,-5.69E-05,1.9564,-77.934,23
-5.69E-05,1.9564,-5.69E-05,1.9564,-77.934,23
-5.69E-05,1.9564,-5.69E-05,1.9564,-77.934,23
-0.00011332,0.081365,-0.00011332,1.9564,-77.934,23
-0.00011332,1.9564,-0.00011332,1.9564,-77.934,23
-0.00011332,1.9564,-0.00011332,1.9564,-77.934,23
-8.15E-05,0.081378,-8.15E-05,1.9564,-77.934,23
-8.15E-05,1.9564,-8.15E-05,1.9564,-77.934,23
-8.15E-05,1.9564,-8.15E-05,1.9564,-77.934,23
0.0001151,0.081369,0.0001151,1.9564,-77.934,23
0.0001151,1.9564,0.0001151,1.9564,-77.934,23
0.0001151,1.9564,0.0001151,1.9564,-77.934,23
