initamp1,initamp2,finalamp1,finalamp2,finalenergy,
0.939488953,0.342579199,0.001988953,0.342579199,-77.93468401,29
0.001988953,0.342579199,0.001988953,0.342579199,-77.93468401,28
0.001988953,0.342579199,0.001988953,0.342579199,-77.93468401,28
0.001988953,0.342579199,0.001988953,0.342579199,-77.93468401,28
-0.960329739,0.278866979,0.009862442,0.360896632,-77.93472804,29
0.009862442,0.360896632,0.009862442,0.360896632,-77.93472804,28
0.009862442,0.360896632,0.009862442,0.360896632,-77.93472804,28
0.009862442,0.360896632,0.009862442,0.360896632,-77.93472804,28
-0.723672983,-0.690143039,-1,-1,-77.93170565,25
-1,-1,-1,-1,-77.93170565,21
-1,-1,-1,-1,-77.93170565,21
-1,-1,-1,-1,-77.93170565,21
0.933303825,-0.359087692,1,-1,-77.93170561,27
1,-1,1,-1,-77.93170561,21
1,-1,1,-1,-77.93170561,21
1,-1,1,-1,-77.93170561,21
-0.960327711,-0.278873964,-1,-1,-77.93170565,27
-1,-1,-1,-1,-77.93170565,21
-1,-1,-1,-1,-77.93170565,21
-1,-1,-1,-1,-77.93170565,21
0.118196015,0.992990283,0.01415324,0.307349679,-77.93346016,28
0.01415324,0.307349679,0.01415324,0.369849679,-77.93459922,29
0.01415324,0.369849679,0.01415324,0.369849679,-77.93459922,28
0.01415324,0.369849679,0.01415324,0.369849679,-77.93459922,28
0.950116157,0.311896278,-0.018633843,0.374396278,-77.93446808,29
-0.018633843,0.374396278,-0.018633843,0.343146278,-77.93456906,28
-0.018633843,0.343146278,0.012616157,0.343146278,-77.9346363,28
0.012616157,0.343146278,0.012616157,0.343146278,-77.9346363,28
0.548458953,0.83617748,-0.081502257,0.338710868,-77.93225915,29
-0.081502257,0.338710868,-0.003381114,0.364170282,-77.93473439,29
-0.003381114,0.364170282,-0.003381114,0.364170282,-77.93473439,28
-0.003381114,0.364170282,-0.003381114,0.364170282,-77.93473439,28
-0.429475041,-0.903078728,0.997987172,-1,-77.93167599,28
0.997987172,-1,0.997987172,-1,-77.93167599,21
0.997987172,-1,0.997987172,-1,-77.93167599,21
0.997987172,-1,0.997987172,-1,-77.93167599,21
